,Season,Short Conference Name,Adjusted Tempo,Adjusted Offensive Efficiency,Adjusted Defensive Efficiency,eFGPct,TOPct,ORPct,FTRate,OffFT,DefFT,Mapped Conference Name,Mapped ESPN Team Name,Full Team Name,Seed,Region,Post-Season Tournament,Tournament Target
0,2025,ACC,0.3779527559055118,0.9999999999999998,0.1638141809290956,0.949382239809167,0.023992556753689,0.7516322100374089,0.5607624725403212,0.5668569299585221,0.5345339382319346,Atlantic Coast Conference (ACC),Duke,Duke Blue Devils,1,East,March Madness,1
1,2015,SEC,0.2834645669291338,0.8498293515358359,0.0073349633251837965,0.8442059550293575,0.04940862656072645,0.8728254600976209,0.7486528328488596,0.7316919798155646,0.6563406092708582,Southeastern Conference (SEC),Kentucky,Kentucky Wildcats,1,Midwest,March Madness,1
2,2025,B12,0.2703412073490812,0.8856655290102389,0.06601466992665062,0.8476180515008539,0.02608198637911463,0.814488266267757,0.46467075456722523,0.5047124591494411,0.6754823617090713,Big 12 Conference,Houston,Houston Cougars,1,Midwest,March Madness,1
3,2021,WCC,0.5826771653543306,0.9368600682593857,0.14180929095354555,1.0,0.04799017389330307,0.6644460537334803,0.6097916194852345,0.5458969785300304,0.4995444435727824,West Coast Conference (WCC),Gonzaga,Gonzaga Bulldogs,1,West,March Madness,1
4,2024,BE,0.3412073490813645,0.9556313993174064,0.17114914425427896,0.9326371469988328,0.029508292508513057,0.8108846992820953,0.545168095053588,0.5346720109781522,0.6360108323187187,Big East Conference,UConn,UConn Huskies,1,East,March Madness,1
5,2025,SEC,0.485564304461942,0.9675767918088736,0.18826405867970664,0.8990908759515543,0.04339393825198637,0.851284247194338,0.595033237860987,0.5818984139915682,0.6368393048111561,Southeastern Conference (SEC),Florida,Florida Gators,1,West,March Madness,1
6,2008,B12,0.3989501312335957,0.8430034129692834,0.039119804400978175,0.9274537782219417,0.08181498297389331,0.8344134680610826,0.6204820613833705,0.5732026528469162,0.6053703448016167,Big 12 Conference,Kansas,Kansas Jayhawks,1,Midwest,March Madness,1
7,2025,SEC,0.43569553805774275,0.9505119453924917,0.19559902200489,0.9001875496626505,0.019471506015891038,0.7550367534530799,0.5789171498602906,0.5678575423684186,0.7363198364483049,Southeastern Conference (SEC),Auburn,Auburn Tigers,1,South,March Madness,1
8,2002,ACC,0.6010498687664041,0.8447098976109213,0.06601466992665062,0.9225568474459074,0.0757082860385925,0.7614452666676979,0.7000660568498565,0.6221211004172565,0.6078964214437234,Atlantic Coast Conference (ACC),Duke,Duke Blue Devils,1,South,March Madness,1
9,2019,ACC,0.20472440944881876,0.8856655290102389,0.12469437652811788,0.9043254674765729,0.03185780737797958,0.6709833494267147,0.4964608055863271,0.5079087546426371,0.5136755199638504,Atlantic Coast Conference (ACC),Virginia,Virginia Cavaliers,1,South,March Madness,1
10,2021,B12,0.41469816272965887,0.9129692832764504,0.17114914425427896,0.9267498898194673,0.05253497979568672,0.8240345995178614,0.4525173237929263,0.44092325794630494,0.570397187425473,Big 12 Conference,Baylor,Baylor Bears,1,South,March Madness,1
11,2018,BE,0.44881889763779537,0.960750853242321,0.24205378973105152,0.9752594375651791,0.035703889670828604,0.6533815428433801,0.5022749417521963,0.5000286023610462,0.5354806025555737,Big East Conference,Villanova,Villanova Wildcats,1,East,March Madness,1
12,2015,B10,0.18635170603674545,0.9812286689419796,0.27139364303178537,0.8973084821394866,0.005293984108967087,0.7099700154894192,0.6173874601226575,0.6238062343761132,0.4490548393980093,Big Ten Conference (Big 10),Wisconsin,Wisconsin Badgers,1,West,March Madness,1
13,2011,B10,0.32020997375328064,0.9129692832764504,0.18092909535452373,0.9229059258446005,0.043994324631101034,0.7878082140323973,0.632520794252542,0.5806773371166243,0.42635780541992496,Big Ten Conference (Big 10),Ohio State,Ohio State Buckeyes,1,East,March Madness,1
14,2010,ACC,0.3438320209973753,0.8447098976109213,0.08801955990220067,0.8280696831348346,0.05127014755959136,0.8906614932153691,0.6469218702793675,0.6861345071447821,0.662591472216295,Atlantic Coast Conference (ACC),Duke,Duke Blue Devils,1,South,March Madness,1
15,2013,BE,0.37270341207349067,0.7883959044368603,0.017114914425428118,0.828335179381728,0.07268898978433597,0.8447124956083851,0.6824611382602298,0.678201367312738,0.6406757961063901,Big East Conference,Louisville,Louisville Cardinals,1,Midwest,March Madness,1
16,2019,WCC,0.4881889763779528,0.9044368600682595,0.1833740831295847,0.9665574743972669,0.03425923269012485,0.6967774378158372,0.6030166226003184,0.575022811261899,0.5321496858878609,West Coast Conference (WCC),Gonzaga,Gonzaga Bulldogs,1,West,March Madness,1
