Matchup,Region
Auburn vs Alabama State,South
Louisville vs Creighton,South
Michigan vs UC San Diego,South
Texas A&M vs Yale,South
Ole Miss vs North Carolina,South
Iowa State vs Lipscomb,South
Marquette vs New Mexico,South
Michigan State vs Bryant,South
Duke vs Mount St. Mary's,East
Mississippi State vs Baylor,East
Oregon vs Liberty,East
Arizona vs Akron,East
BYU vs VCU,East
Wisconsin vs Montana,East
Saint Mary's vs Vanderbilt,East
Alabama vs Robert Morris,East
Florida vs Norfolk State,West
UConn vs Oklahoma,West
Memphis vs Colorado State,West
Maryland vs Grand Canyon,West
Missouri vs Drake,West
Texas Tech vs UNC Wilmington,West
Kansas vs Arkansas,West
St. John's vs Omaha,West
Houston vs SIU Edwardsville,Midwest
Gonzaga vs Georgia,Midwest
Clemson vs McNeese,Midwest
Purdue vs High Point,Midwest
Illinois vs Xavier,Midwest
Kentucky vs Troy,Midwest
UCLA vs Utah State,Midwest
Tennessee vs Wofford,Midwest
