Season,Team Name,Seed,Region,Post-Season Tournament,Post-Season Tournament Sorting Index,Vulnerable Top 2 Seed?,Tournament Winner?,Tournament Championship?,Final Four?
2025,Auburn,1,South,March Madness,1,No,,,
2025,Alabama State,16,South,March Madness,1,,,,
2025,St. Francis (PA),16,South,March Madness,1,,,,
2025,Louisville,8,South,March Madness,1,,,,
2025,Creighton,9,South,March Madness,1,,,,
2025,Michigan,5,South,March Madness,1,,,,
2025,UC San Diego,12,South,March Madness,1,,,,
2025,Texas A&M,4,South,March Madness,1,,,,
2025,Yale,13,South,March Madness,1,,,,
2025,Ole Miss,6,South,March Madness,1,,,,
2025,San Diego State,11,South,March Madness,1,,,,
2025,North Carolina,11,South,March Madness,1,,,,
2025,Iowa State,3,South,March Madness,1,,,,
2025,Lipscomb,14,South,March Madness,1,,,,
2025,Marquette,7,South,March Madness,1,,,,
2025,New Mexico,10,South,March Madness,1,,,,
2025,Michigan State,2,South,March Madness,1,No,,,
2025,Bryant,15,South,March Madness,1,,,,
2025,Florida,1,West,March Madness,1,No,,,
2025,Norfolk State,16,West,March Madness,1,,,,
2025,UConn,8,West,March Madness,1,,,,
2025,Oklahoma,9,West,March Madness,1,,,,
2025,Memphis,5,West,March Madness,1,,,,
2025,Colorado State,12,West,March Madness,1,,,,
2025,Maryland,4,West,March Madness,1,,,,
2025,Grand Canyon,13,West,March Madness,1,,,,
2025,Missouri,6,West,March Madness,1,,,,
2025,Drake,11,West,March Madness,1,,,,
2025,Texas Tech,3,West,March Madness,1,,,,
2025,UNC Wilmington,14,West,March Madness,1,,,,
2025,Kansas,7,West,March Madness,1,,,,
2025,Arkansas,10,West,March Madness,1,,,,
2025,St. John's,2,West,March Madness,1,No,,,
2025,Omaha,15,West,March Madness,1,,,,
2025,Duke,1,East,March Madness,1,No,,,
2025,American University,16,East,March Madness,1,,,,
2025,Mount St. Mary's,16,East,March Madness,1,,,,
2025,Mississippi State,8,East,March Madness,1,,,,
2025,Baylor,9,East,March Madness,1,,,,
2025,Oregon,5,East,March Madness,1,,,,
2025,Liberty,12,East,March Madness,1,,,,
2025,Arizona,4,East,March Madness,1,,,,
