Season,Mapped ESPN Team Name,Top 12 in AP Top 25 During Week 6?
2025,Tennessee,Yes
2025,Auburn,Yes
2025,Iowa State,Yes
2025,Duke,Yes
2025,Kentucky,Yes
2025,Marquette,Yes
2025,Alabama,Yes
2025,Gonzaga,Yes
2025,Florida,Yes
2025,Kansas,Yes
2025,Purdue,Yes
2025,Oregon,Yes
2024,Arizona,Yes
2024,Kansas,Yes
2024,Purdue,Yes
2024,Houston,Yes
2024,UConn,Yes
2024,Baylor,Yes
2024,Marquette,Yes
2024,Creighton,Yes
2024,North Carolina,Yes
2024,Gonzaga,Yes
2024,Oklahoma,Yes
2024,Tennessee,Yes
2023,Purdue,Yes
2023,Virginia,Yes
2023,UConn,Yes
2023,Alabama,Yes
2023,Houston,Yes
2023,Tennessee,Yes
2023,Texas,Yes
2023,Kansas,Yes
2023,Arizona,Yes
2023,Arkansas,Yes
2023,Baylor,Yes
2023,Duke,Yes
2022,Baylor,Yes
2022,Duke,Yes
2022,Purdue,Yes
2022,UCLA,Yes
2022,Gonzaga,Yes
2022,Alabama,Yes
2022,Kansas,Yes
2022,Arizona,Yes
2022,Villanova,Yes
2022,USC,Yes
2022,Iowa State,Yes
2022,Michigan State,Yes
2021,Gonzaga,Yes
2021,Baylor,Yes
2021,Kansas,Yes
2021,Villanova,Yes
2021,Houston,Yes
2021,Wisconsin,Yes
2021,Tennessee,Yes
2021,Texas,Yes
2021,West Virginia,Yes
2021,Iowa,Yes
2021,Creighton,Yes
2021,Missouri,Yes
2020,Louisville,Yes
2020,Kansas,Yes
2020,Ohio State,Yes
2020,Maryland,Yes
2020,Michigan,Yes
2020,Gonzaga,Yes
2020,Duke,Yes
2020,Kentucky,Yes
2020,Virginia,Yes
2020,Oregon,Yes
2020,Baylor,Yes
2020,Auburn,Yes
2019,Kansas,Yes
2019,Duke,Yes
2019,Tennessee,Yes
2019,Gonzaga,Yes
2019,Michigan,Yes
2019,Virginia,Yes
2019,Nevada,Yes
2019,Auburn,Yes
2019,Michigan State,Yes
2019,Florida State,Yes
2019,Texas Tech,Yes
2019,North Carolina,Yes
2018,Villanova,Yes
2018,Michigan State,Yes
2018,Wichita State,Yes
2018,Duke,Yes
2018,Arizona State,Yes
2018,Miami,Yes
2018,North Carolina,Yes
2018,Kentucky,Yes
2018,Texas A&M,Yes
2018,Xavier,Yes
2018,West Virginia,Yes
2018,Gonzaga,Yes
2017,Villanova,Yes
2017,UCLA,Yes
2017,Kansas,Yes
2017,Baylor,Yes
2017,Duke,Yes
2017,Kentucky,Yes
2017,North Carolina,Yes
2017,Gonzaga,Yes
2017,Indiana,Yes
2017,Creighton,Yes
2017,Louisville,Yes
2017,West Virginia,Yes
2016,Michigan State,Yes
2016,Kansas,Yes
2016,Oklahoma,Yes
2016,Kentucky,Yes
2016,Iowa State,Yes
2016,Maryland,Yes
2016,Duke,Yes
2016,Virginia,Yes
2016,Purdue,Yes
2016,Xavier,Yes
2016,North Carolina,Yes
2016,Villanova,Yes
2015,Kentucky,Yes
2015,Duke,Yes
2015,Arizona,Yes
2015,Louisville,Yes
2015,Wisconsin,Yes
2015,Virginia,Yes
2015,Villanova,Yes
2015,Gonzaga,Yes
2015,Texas,Yes
2015,Kansas,Yes
2015,Wichita State,Yes
2015,Ohio State,Yes
2014,Arizona,Yes
2014,Syracuse,Yes
2014,Ohio State,Yes
2014,Wisconsin,Yes
2014,Michigan State,Yes
2014,Louisville,Yes
2014,Oklahoma State,Yes
2014,Duke,Yes
2014,UConn,Yes
2014,Villanova,Yes
2014,Kentucky,Yes
2014,Wichita State,Yes
2013,Indiana,Yes
2013,Duke,Yes
2013,Michigan,Yes
2013,Syracuse,Yes
2013,Florida,Yes
2013,Louisville,Yes
2013,Ohio State,Yes
2013,Arizona,Yes
2013,Kansas,Yes
2013,Illinois,Yes
2013,Cincinnati,Yes
2013,Missouri,Yes
2012,Syracuse,Yes
2012,Ohio State,Yes
2012,Kentucky,Yes
2012,Louisville,Yes
2012,North Carolina,Yes
2012,Baylor,Yes
2012,Duke,Yes
2012,Xavier,Yes
2012,UConn,Yes
2012,Missouri,Yes
2012,Marquette,Yes
2012,Kansas,Yes
2011,Duke,Yes
2011,Ohio State,Yes
2011,Kansas,Yes
2011,UConn,Yes
2011,Syracuse,Yes
2011,Kansas State,Yes
2011,Tennessee,Yes
2011,Pittsburgh,Yes
2011,Baylor,Yes
2011,Villanova,Yes
2011,San Diego State,Yes
2011,Illinois,Yes
2010,Kansas,Yes
2010,Texas,Yes
2010,Kentucky,Yes
2010,Purdue,Yes
2010,Syracuse,Yes
2010,West Virginia,Yes
2010,Duke,Yes
2010,Villanova,Yes
2010,Tennessee,Yes
2010,North Carolina,Yes
2010,Georgetown,Yes
2010,Michigan State,Yes
2009,North Carolina,Yes
2009,UConn,Yes
2009,Pittsburgh,Yes
2009,Oklahoma,Yes
2009,Texas,Yes
2009,Duke,Yes
2009,Xavier,Yes
2009,Gonzaga,Yes
2009,Louisville,Yes
2009,Wake Forest,Yes
2009,Syracuse,Yes
2009,Notre Dame,Yes
2008,North Carolina,Yes
2008,Memphis,Yes
2008,Kansas,Yes
2008,Texas,Yes
2008,Georgetown,Yes
2008,Duke,Yes
2008,Washington State,Yes
2008,UCLA,Yes
2008,Michigan State,Yes
2008,Marquette,Yes
2008,Pittsburgh,Yes
2008,Tennessee,Yes
2007,UCLA,Yes
2007,Pittsburgh,Yes
2007,North Carolina,Yes
2007,Ohio State,Yes
2007,Florida,Yes
2007,Duke,Yes
2007,Wisconsin,Yes
2007,Wichita State,Yes
2007,Alabama,Yes
2007,Arizona,Yes
2007,Kansas,Yes
2007,LSU,Yes
2006,Duke,Yes
2006,UConn,Yes
2006,Villanova,Yes
2006,Louisville,Yes
2006,Memphis,Yes
2006,Texas,Yes
2006,Florida,Yes
2006,Oklahoma,Yes
2006,Illinois,Yes
2006,Gonzaga,Yes
2006,Washington,Yes
2006,Michigan State,Yes
2005,Illinois,Yes
2005,Kansas,Yes
2005,Oklahoma State,Yes
2005,North Carolina,Yes
2005,Wake Forest,Yes
2005,Duke,Yes
2005,Syracuse,Yes
2005,Kentucky,Yes
2005,Georgia Tech,Yes
2005,Pittsburgh,Yes
2005,UConn,Yes
2005,Washington,Yes
2004,UConn,Yes
2004,Kentucky,Yes
2004,Duke,Yes
2004,Georgia Tech,Yes
2004,Arizona,Yes
2004,Stanford,Yes
2004,Oklahoma,Yes
2004,Wake Forest,Yes
2004,North Carolina,Yes
2004,Saint Joseph's,Yes
2004,Missouri,Yes
2004,Kansas,Yes
2003,Arizona,Yes
2003,Alabama,Yes
2003,Duke,Yes
2003,Pittsburgh,Yes
2003,Oregon,Yes
2003,Indiana,Yes
2003,Oklahoma,Yes
2003,UConn,Yes
2003,Notre Dame,Yes
2003,Texas,Yes
2003,Missouri,Yes
2003,Illinois,Yes
2002,Duke,Yes
2002,Missouri,Yes
2002,Maryland,Yes
2002,Kansas,Yes
2002,Florida,Yes
2002,Arizona,Yes
2002,Virginia,Yes
2002,Oklahoma State,Yes
2002,Kentucky,Yes
2002,Illinois,Yes
2002,Boston College,Yes
2002,Stanford,Yes
